"collection_no","record_type","authorization","release_on","formation","lng","lat","collection_name","container_no","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"3256","col","","","","-1.166667","51.083332","M27 Motorway","","","1","Early Eocene","Middle Eocene","56","37.71","149"
"3257","col","","","","-1.166667","51.083332","M27 Motorway","","","1","Early Eocene","Middle Eocene","56","37.71","149"
"3534","col","","","Moodys Branch","-92.147224","32.234165","Montgomery Landing (Moodys Branch)","","","1","Bartonian","","41.03","37.71","124"
"5195","col","","","Paw Paw","-97.300003","32.866669","SMU Loc. 263 (upper Paw Paw Fm.)","","","1","Late Albian","","106.3","100.5","312"
"8019","col","","","Lopez de Bertodano","-56.750000","-64.250000","Unit 10, Lopez de Bertodano FM., Seymour Island","","","1","Danian","","66","61.66","531"
"8050","col","","","London Clay","-0.650000","50.783333","Bognor Regis, London Clay","","","4","Ypresian","","56","48.07","538"
"10755","col","","","Tuchengzi","123.966698","42.933300","Ershijiazi, Chaoyang","","Chaoyangsaurus type","2","Late Kimmeridgian","Valanginian","152.21","132.6","13360"
"10760","col","","","Sînpetru","22.915800","45.547501","Garjobel","","Gârjobel, Sânpetru, Girjobel","5","Early Maastrichtian","","72.2","66","4002"
"10764","col","","","Yixian","120.733330","41.799999","Sihetun, Yixian Member 3 (general)","","","2","Late Barremian","Early Aptian","125.77","119.57","19421"
"11582","col","","","Baruungoyot","99.599998","43.299999","Khermeen Tsav, Red Beds (PIN coll. 3142) [SMPE]","","Khermin Tsav, Khermin-Tsab, Hermiin Tsav, Soviet-Mongolian Paleontological Expedition","14","Middle Campanian","Late Campanian","83.6","72.2","59136"
"11601","col","","","Jewett","-118.848335","35.492779","Pyramid Hill Sand Member grit zone","","LACMVP Loc. 1603, 1626, 1627; UCMP Loc. V-7032","1","Chattian","","27.3","23.04","10315"
"11604","col","","","Lameta","80.366669","21.183332","Dongargaon Hill","","Isisaurus type site","1","Maastrichtian","","72.2","66","57058"
"11611","col","","","Morrison","-108.995796","39.238300","Mygatt-Moore Quarry, lower mudstone","","MWC Loc. 1.05.86, MWC Loc. 2, CO-21, main quarry, MMQ","13","Kimmeridgian","Tithonian","154.8","143.1","5767"
"11798","col","","","","102.066666","25.016666","Lufeng","","","6","Tortonian","","11.63","7.246","10883"
"11890","col","","","Dinosaur Park","-111.528732","50.740726","RTMP Quarry 6, Sand Creek [AMNH]","","Sternberg Quarry 54","1","Late Campanian","","83.6","72.2","36144"
"11892","col","","","Dinosaur Park","-111.461914","50.753296","RTMP Quarry 95, Steveville (ROM)","","Sternberg Quarry 78","1","Late Campanian","","83.6","72.2","33225"
"11893","col","","","Dinosaur Park","-111.549347","50.737015","RTMP Quarry 48, Steveville (UA)","","Sternberg Quarry 48, U.A.1","1","Late Campanian","","83.6","72.2","33225"
"11894","col","","","Dinosaur Park","-111.528931","50.737297","RTMP Quarry 217","","","1","Late Campanian","","83.6","72.2","16964"
"11895","col","","","Dinosaur Park","-111.564636","50.723866","RTMP Quarry 74, Steveville","","NMC, Sternberg Quarry 50, G.S.C.24","1","Late Campanian","","83.6","72.2","33225"
"11896","col","","","Dinosaur Park","-111.525337","50.740471","RTMP Quarry 106, Sand Creek (75 ft level) [AMNH]","","Sternberg quarry 57, A.M.8","1","Late Campanian","","83.6","72.2","33225"
"11897","col","","","Dinosaur Park","-111.601021","50.786999","RTMP Quarry 36, Berry Creek","","Red Deer River, Sternberg Quarry 36, Gorgosaurus type, G.S.C.6, NMC","1","Late Campanian","","83.6","72.2","17545"
"11898","col","","","Scollard","-112.981903","51.804600","east bank Red Deer River, GSC (NMC 5601)","","","1","Late Maastrichtian","","72.2","66","25123"
"11899","col","","","Horseshoe Canyon","-112.981903","51.819099","2 miles below Tolman Ferry (150 ft level) [AMNH]","","Red Deer River","3","Early Maastrichtian","","72.2","66","54104"
"11900","col","","","Horseshoe Canyon","-112.818901","51.542702","2.5 miles above Bleriot ferry, Red Deer River (ROM)","","","1","Early Maastrichtian","","72.2","66","12347"
"11901","col","","","Horseshoe Canyon","-112.842300","51.469898","Kneehills Creek, GSC (NMC 5600)","","Knee Hills Creek, Kirkpatrick Coulee, Dunphy","1","Early Maastrichtian","","72.2","66","25123"
"11902","col","","","Horseshoe Canyon","-112.702202","51.440800","Drumheller, Red Deer River (NMC Loc. 5)","","NMC 2196","1","Early Maastrichtian","","72.2","66","4205"
"11903","col","","","Oldman","-110.681999","49.083698","Manyberries (NMC 11594)","","","1","Late Campanian","","83.6","72.2","4205"
"11904","col","","","Dinosaur Park","-111.511902","50.742401","RTMP Quarry 236, Steveville (NMC 350)","","Q236","1","Late Campanian","","83.6","72.2","62883"
"11915","col","","","Oldman","-111.485008","50.751526","RTMP Quarry 72, Steveville, (NMC)","","Daspletosaurus type, Sternberg Quarry 88, G.S.C.23","1","Middle Campanian","","83.6","72.2","33225"
"11916","col","","","Horseshoe Canyon","-112.934799","51.928299","South bank of Red Deer River, upstream of Tolman Bridge","","Near Scollard","1","Early Maastrichtian","","72.2","66","4205"
"11917","col","","","Scollard","-113.028900","51.906399","Knudsen's Coulee (NMC 9954)","","East of Huxley","1","Late Maastrichtian","","72.2","66","4205"
"11918","col","","","Scollard","-113.233330","51.933334","East of Huxley (NMC 9550)","","Huxley T. rex","1","Late Maastrichtian","","72.2","66","4205"
"11919","col","","","Oldman","-111.529999","50.770000","near mouth of Sandhill Creek (50 ft level) [NMC]","","Sand Creek, RTMP Quarry 252","1","Late Campanian","","83.6","72.2","4206"
"11920","col","","","Portland","-72.633331","41.566666","""Middlebury"" quarry (Middletown)","","Portland","1","Hettangian","Sinemurian","201.4","192.9","78230"
"11923","col","","","Cerro Carnerero","-69.516670","-43.966667","East Slope, Sierra Pampa de Agnía","","Cañadón Puelman","1","Pliensbachian","Early Toarcian","192.9","182.9","4208"
"11924","col","","","Morrison","-108.699989","39.068802","Riggs Quarry 12, Fruita (FMNH)","","Redlands","1","Kimmeridgian","Tithonian","154.8","143.1","4209"
"11925","col","","","Morrison","-108.717499","39.111668","Riggs Quarry 14, Fruita (FMNH)","","","1","Kimmeridgian","","154.8","149.2","4209"
"11931","col","","","Hell Creek","-106.569901","47.637699","upper end, Gilbert Creek","","Ankylosaurus type","2","Late Maastrichtian","","72.2","66","4210"
"11932","col","","","Antlers","-96.278053","34.180000","OMNH V611","","Caddo, Atoka","1","Late Aptian","Early Albian","119.57","110.1","4211"
"12584","col","","","Fruitland","-107.966393","36.060280","OMNH 40-V","","Ah-Shi-Sle-Pah Wash","1","Late Campanian","","83.6","72.2","4247"
"12585","col","","","Huriwai Measures","174.716660","-37.383331","Huriwai Measures","","Geological Society of New Zealand R13/f284","1","Puaroan","","150","143.1","4249"
"12816","col","","","Morrison","-106.002220","41.893055","Quarry 9, Como Bluff (YPM)","","Mammal Quarry, WY-15","16","Kimmeridgian","Tithonian","154.8","143.1","10624"
"12840","col","","","","1.733333","44.166668","Le Bretou","","Quercy Phosphorites","7","Bartonian","","41.03","37.71","7272"
"12841","col","","","Perriere","1.731667","44.349998","Les Pradigues","","","1","Priabonian","","37.71","33.9","7272"
"12845","col","","","","1.566667","44.383331","Escamps C","","","1","MP 19","","37.71","33.9","12515"
"12846","col","","","","1.566667","44.383331","Escamps X","","Escamps","1","MP 19","","37.71","33.9","12515"
"12847","col","","","Calcaire de Saint-Ouen","3.350000","49.133331","Grisolles","","","1","Bartonian","","41.03","37.71","12522"
"12850","col","","","Perrière","1.433333","44.383331","Perrière","","Perrière B; Perière","3","Late Eocene","","37.71","33.9","12522"
"12851","col","","","","1.731944","44.366669","Gousnat","","","1","MP 18","","37.71","33.9","12515"
"12855","col","","","El Molino","-65.940002","-17.687000","Pajcha Pata","","Pajchapata","2","Late Maastrichtian","","72.2","66","39674"
"12954","col","","","Jebel Qatrani","30.583332","29.450001","Quarry I (Jebel Qatrani Formation)","","Fayum ""upper sequence""; Yale Quarry I","4","Rupelian","","33.9","27.3","24335"
"12960","col","","","Jebel Qatrani","30.583332","29.450001","Quarry M (Jebel Qatrani Formation)","","Fayum ""upper sequence""","11","Rupelian","","33.9","27.3","24324"
"12964","col","","","Jebel Qatrani","30.583332","29.450001","Quarry A-1 (Jebel Qatrani Formation)","","""lower sequence""","2","Rupelian","","33.9","27.3","4292"
"12968","col","","","Jebel Qatrani","30.583332","29.450001","Quarry E (Jebel Qatrani Formation)","","Fayum ""lower sequence""","1","Rupelian","","33.9","27.3","24326"
"12977","col","","","Hell Creek","-106.227776","47.695831","MPM locality 3850 (Hell Creek Formation)","","","2","Maastrichtian","","72.2","66","4306"
"13000","col","","","Menefee","-107.199997","35.700001","NMMNH locality L-3034","","","2","Early Campanian","Middle Campanian","83.6","72.2","81222"
"13065","col","","","Maradah","20.500000","28.000000","Gebel Zelten site 6412","","Jebel Zelten, Jabal Zaltan, Wádí Shatírát ","1","Burdigalian","","20.45","15.98","8337"
"13066","col","","","","-84.800003","34.200001","Ladd's Quarry","","Ladd's Lime Kiln","6","Late Pleistocene","","0.129","0.0117","10272"
"13079","col","","","Pisco","-74.719719","-15.580833","Sud-Sacaco West (SAS) horizon","","SASw","13","Messinian","","7.246","5.333","11891"
"13090","col","","","Almejas","-115.183334","28.366667","Arroyo Delphin","","UCR RV-7315","3","Messinian","","7.246","5.333","4361"
"13096","col","","","Karaginskaya","51.431946","43.819443","Karagiya","","","1","Chattian","","27.3","23.04","4365"
"13105","col","","","Turney Ranch","-110.418053","31.811390","""Sonorasaurus"" site, Whetstone Mountains","","","3","Late Albian","Early Cenomanian","106.3","93.9","27971"
"13106","col","","","López de Bertodano","-56.723610","-64.273613","Seymour Island, Klb 9","","Mortuneria seymourensis locality","1","Late Maastrichtian","","72.2","66","4371"
"13108","col","","","Nemegt","99.599998","43.540001","Bugin Tsav [AMNH]","","Buguin-Tzav","3","Maastrichtian","","72.2","66","4373"
"13110","col","","","Abraq","34.806946","23.380833","Gabal Abraq - lower Abraq Fm.","","","1","Cretaceous","","143.1","66","4374"
"13142","col","","","Hell Creek","-106.099998","47.799999","Bug Creek Anthills","","Bug Creek, BCA, OMNH V1173","8","Late Maastrichtian","","72.2","66","4377"
"13144","col","","","Calcare di Bari","16.462996","41.247108","Lama Paterno quarry, Bisceglie (bed 3)","","","1","Early Aptian","","121.4","119.57","34471"
"13209","col","","","Los Blanquitos","-65.266670","-24.299999","Arroyo El Morterito (PVL)","","El Ceibal, Potrero del Nogalito","3","Campanian","","83.6","72.2","4386"
"13210","col","","","Yacoraite","-65.266670","-24.299999","Aguas Calientes, Arroyo el Morterito","","El Ceibal","1","Late Maastrichtian","","72.2","66","4386"
"13212","col","","","Morrison","-106.041000","41.893101","Quarry 1, Como Bluff (YPM)","","WY-21","6","Kimmeridgian","Tithonian","154.8","143.1","7811"
"13214","col","","","Morrison","-106.389999","42.035831","Freeze Out Mtns. Kansas Univ. Expedition","","Freezeout Hills Quarry","6","Kimmeridgian","Tithonian","154.8","143.1","52556"
"13218","col","","","Calcarenites du Jadet","0.948611","43.142776","Le Jadet Quarry (upper)","","Saint-Martory","1","Late Maastrichtian","","72.2","66","4388"
"13221","col","","","","164.956665","-21.336666","Pindai Cave, Nepoui Peninsula","","Pindaï Caves, Grande Terre","22","Holocene","","0.0117","0","4393"
"13263","col","","","Wingate Sandstone","-108.930832","38.278610","La Sal Creek tracksite","","","1","Rhaetian","Hettangian","205.7","199.5","4395"
"13264","col","","","","-83.666664","22.583332","Cueva Pío Dominga owl locality (Cuba)","","Valle de Pica Pica","1","Pleistocene","","2.58","0.0117","4396"
"13267","col","","","Vectis","-1.381643","50.624130","Barnes High locality (Wealden)","","South Coast of the Isle of Wight","1","Late Barremian","Early Aptian","125.77","119.57","4397"
"13268","col","","","Vectis","-1.468000","50.654499","SZ 377840 Bernissartia locality (Wealden)","","Isle of Wight","2","Late Barremian","Early Aptian","125.77","119.57","4398"
"13271","col","","","Chañares","-67.820557","-29.823055","Chañares River, 4 km north","26092","Los Chañares","1","Ladinian","","241.464","237","17343"
"13273","col","","","Cooper Canyon","-101.315002","33.521389","Miller's Ranch Quarry","","Post Quarry, Dockum Group, ETE Locality 1583, MOTT VPL 3624","6","Norian","","227.3","205.7","63730"
"13274","col","","","","-3.966667","30.900000","Hamada du Guir","","Hammada du Guir","2","Late Albian","Early Cenomanian","106.3","93.9","9649"
"13275","col","","","Morrison","-109.676109","38.738609","East Dalton Wells tracksite (Morrison Formation)","","Arches National Park survey L-GFE-94-64","2","Kimmeridgian","Tithonian","154.8","143.1","4403"
"13277","col","","","Morrison","-108.799721","39.065277","north end, Black Ridge tracksite","","Colorado National Monument","2","Kimmeridgian","","154.8","149.2","4403"
"13279","col","","","Kayenta","-111.027779","35.679169","West Moenkopi Plateau (MNA 219)","","Ward Terrace","1","Sinemurian","Pliensbachian","199.5","184.2","4405"
"13280","col","","","Kayenta","-111.073608","35.736668","Gold Spring Wash (MNA 291, MCZ 77 AR/4, TMM 43699)","","Ward Terrace","4","Sinemurian","Pliensbachian","199.5","184.2","4405"
"13281","col","","","Two Medicine","-112.182777","47.812500","Egg Island, MOR TM-024","","Willow Creek Anticline, WCA","3","Middle Campanian","","83.6","72.2","4406"
"13282","col","","","Two Medicine","-112.660004","47.820000","Egg Gulch, MOR TM-008","","Willow Creek Anticline, WCA","4","Late Campanian","","83.6","72.2","4406"
"13284","col","","","","102.066666","48.583332","Boro Khovil","","Goyocephale type","1","Santonian","Maastrichtian","85.7","66","4408"
"13285","col","","","Löwenstein","8.978333","49.023609","Goessel Quarry 375, Ochsenbach","","Goesel","1","Norian","","227.3","205.7","44534"
"13286","col","","","Aurisina","13.588611","45.778610","Villaggio del Pescatore","","Duino, VdP","2","Early Campanian","Middle Campanian","83.6","72.2","23419"
"13292","col","","","Botucatu","-47.750000","-21.066668","Brodósqui tracksite, Visconde Farm quarries","","Leonardi locality 52, Jurucê","1","Aptian","","121.4","113.2","69655"
"13294","col","","","North Horn","-111.254166","39.267223","Lower Coal Sequence (Unit 3, 160 - 199 meters) North Horn Mountain","","KT Boundary Interval (North Horn Formation)","1","Late Maastrichtian","","72.2","66","4413"
"13296","col","","","White River","-104.866669","40.900002","Chalk Bluffs","","","1","Orellan","","33.9","31.8","4415"
"13297","col","","","Temblor","-118.500000","35.299999","Sharktooth Hill","59059","LACM 4956, CAS 725, UCMP V74021","7","Langhian","","15.98","13.82","4416"
"13298","col","","","London Clay","-0.683333","50.783333","Fish Tooth Beds","","","5","Ypresian","","56","48.07","4417"
"13299","col","","","London Clay","0.833333","51.400002","Isle of Sheppey (BMNH collection)","","","7","Ypresian","","56","48.07","4417"
"13300","col","","","Monterey","-117.712219","33.561943","Laguna Niguel","","LACM localities 6906, 6902, and 3185; Aliso Creek; El Lazo Road","15","Tortonian","","11.63","7.246","4418"
"13301","col","","","Niobrara","-101.000000","39.000000","B. F. Mudge collection","","","2","Early Coniacian","Santonian","89.8","83.6","4419"
"13305","col","","","Bajo de la Carpa","-68.234169","-38.953888","Boca del Sapo, Universidad Nacional del Comahue","","","4","Santonian","","85.7","83.6","4423"
"13306","col","","","Yacoraite","-66.000000","-25.500000","Quebrada del Tapón tracksite","","Leonardi locality 94","4","Late Maastrichtian","","72.2","66","6049"
"13307","col","","","Lecho","-65.366669","-26.066668","Estancia ""El Brete"" (PVL)","","","18","Early Maastrichtian","","72.2","66","55175"
"13308","col","","","Angostura Colorada","-69.466667","-41.349998","Monton-ilo tracksite","","Ingeniero Jacobacci, Leonardi locality 22, Montonilo","2","Late Campanian","Early Maastrichtian","83.6","66","6051"
"13309","col","","","Quiriquina","-73.116669","-36.716667","west end, Bahía San Vicente","","Talcahuano","1","Late Maastrichtian","","72.2","66","6052"
"13310","col","","","Saltrio","8.928022","45.882748","""Salnova"" quarry, Saltrio","","","1","Early Sinemurian","","199.5","192.9","59040"
"13311","col","","","","-46.616669","-23.533333","Bauru bird fossil CHECK","","","1","Maastrichtian","","72.2","66","4423"
"13312","col","","","La Bocana Roja","-115.733330","30.049999","southwest of El Rosario","","LACM 7256","2","Santonian","","85.7","83.6","6054"
"13313","col","","","Wipajiri","140.733337","-27.750000","Leaf locality, Lake Ngapakaldi","","UCMP V6213","2","Late Oligocene","Early Miocene","27.3","15.98","4424"
"13314","col","","","Camfield Beds","131.522217","-17.116667","Bullock Creek (QVM)","","Small Hills Locality","2","Middle Miocene","","15.98","11.63","6055"
"13315","col","","","Waite","133.883331","-23.700001","Alcoota (incl. Rochow) Locality","","Alcoota Fauna","9","Late Miocene","","11.63","5.333","6056"
"13316","col","","","Mampuwordu Sands","140.733337","-27.750000","Lawson-Daily Quarry, Lake Palankarinna","","Palankarinna Fauna","2","Pliocene","","5.333","2.58","6057"
"13317","col","","","Tirari","138.416672","-28.766666","Lake Kanunka","","","3","Zanclean","","5.333","3.6","6058"
"13318","col","","","Chinchilla Sand","150.633331","-26.750000","Chinchilla Riffle Range","","Darling Downs","1","Early Pliocene","","5.333","3.6","6059"
"13319","col","","","Katipiri","140.733337","-27.750000","Cooper Creek (including Katipiri Waterhole (= Site 9) & Wurdulumankula)","","Malkuni Fauna","3","Late Pleistocene","","0.129","0.0117","6060"
"13320","col","","","London Clay","0.750000","51.250000","London Clay palaeognath","","","1","Early Eocene","","56","48.07","6040"
"13321","col","","","Willwood","-108.379440","43.025002","Willwood ?gruiform","","","1","Early Eocene","","56","48.07","6045"
"13322","col","","","","11.953611","51.321945","Geiseltal, Mittelkohle, Zone III (Middlecoal, zone III)","","","2","Lutetian","","48.07","41.03","11714"
"13323","col","","","Washakie","-108.270279","41.337502","Washakie bathornithid","","","1","Uintan","","45.9","39.7","6042"
"13324","col","","","","1.433333","44.383331","French Paleogene vulture","","","1","Late Eocene","Early Oligocene","37.71","27.3","6043"
"13325","col","","","","1.433333","44.383331","Another French Paleogene vulture","","","1","Late Eocene","Early Oligocene","37.71","27.3","6044"
"13326","col","","","Elliot","28.623056","-28.509443","Rooidraai, Golden Gate Highlands National Park (BPI)","","Red Bend","2","Hettangian","Sinemurian","201.4","192.9","4425"
"13331","col","","","La Posa","1.078398","42.113537","Biscarri, Isona","","","2","Early Maastrichtian","","72.2","66","23594"
"13332","col","","","","6.300000","43.583332","Upper-Var syncline (PROXY)","","","1","Maastrichtian","","72.2","66","5968"
"13333","col","","","La Amarga","-70.194786","-39.481979","La Amarga (main site)","","","4","Barremian","","125.77","121.4","63573"
"13334","col","","","Densuş-Ciula","22.845142","45.603615","Tuştea-Oltoane nesting site","","Valioara; Tuştea Oltoane; Tuştea nesting site; Vălioara; Valiora; Tustea, Ultoane","7","Early Maastrichtian","","72.2","66","5971"
"13335","col","","","Lower Bauxite","22.400000","46.950001","Brusturi Mine, Cornet 204 lens","","Bihor, ETE 1554","16","Berriasian","","143.1","137.05","53422"
"13336","col","","","Sebayashi","140.433334","40.950001","Nakasato, Sebayashi trackway site","","","1","Early Albian","","113.2","110.1","8707"
"13339","col","","","Dinosaur Park","-111.565781","50.742214","RTMP Quarry 105, Sand Creek (150 ft level) [AMNH]","","M. nasicornus type, Sternberg Quarry 43, A.M.7","1","Late Campanian","","83.6","72.2","5980"
"13340","col","","","Oldman","-111.800003","50.730000","north fork, Sand Creek (50 ft level) [AMNH]","","Monoclonius cutleri type","1","Campanian","","83.6","72.2","5980"
"13341","col","","","Morrison","-105.187332","39.653423","Lakes Quarry 10, Morrison (YPM)","","A. laticollis type, Dinosaur Ridge","4","Kimmeridgian","Tithonian","154.8","143.1","7811"
"13342","col","","","Tereñes","-5.249015","43.498878","Playa de La Griega tracksite","","Gigantosauropus type, Colunga","4","Kimmeridgian","","154.8","149.2","5982"
"13343","col","","","Cabaços","-5.076468","43.468056","Playa de Ribadesella tracksite","","Hispanosauropus type","2","Kimmeridgian","","154.8","149.2","5982"
"13345","col","","","Winton","143.000000","-22.600000","Diamantina River","","","1","Late Albian","Early Turonian","106.3","89.8","5986"
"13347","col","","","Nemegt","99.926941","43.720554","Haichin Ula I [SMGE, SMPE] (PIN coll. 4230)","","Khaichin Ula, Soviet-Mongolian Geological Expedition, Khaychin-Ula","2","Maastrichtian","","72.2","66","61563"
"13349","col","","","Tayzhuzgen","84.004700","47.591900","Taydzhuzgen River tributary","","Taizhuzgen, Tayzhuzgen","3","Maastrichtian","","72.2","66","14364"
"13350","col","","","Baynshire","101.331947","43.938889","Shiregin-Gashun [SMGE]","","Shiregin Gashoon, Sheregiyn-Gashoon","1","Cenomanian","Santonian","100.5","83.6","61563"
"13351","col","","","","110.416664","45.099998","Tel Ulan Shalcha [SMGE]","","Tel Ulan Ula, Tel'-Ulan-Ula","1","Late Cretaceous","","100.5","66","61563"
"13352","col","","","Morrison","-105.916199","42.152302","Carnegie Quarry D, Sheep Creek","","","5","Kimmeridgian","Tithonian","154.8","143.1","10490"
"13366","col","","","Phosphorite Unit","36.033333","32.016666","Ruseifa phosphate mine","","","1","Maastrichtian","","72.2","66","31056"
"13408","col","","","Choptank","-76.471107","38.463890","Calvert Beach Run, south of, Zone 19","","","1","Serravallian","","13.82","11.63","17218"
"13409","col","","","Kayenta","-110.320000","36.145279","UCMP V4214, Moa Ave","","Tuba City, Silty Facies, Moenave","1","Sinemurian","Pliensbachian","199.5","184.2","13844"
"13410","col","","","Kayenta","-110.300003","36.099998","UCMP V6468, Moa Ave","","Tuba City, Silty Facies, Moenave","1","Sinemurian","Pliensbachian","199.5","184.2","13844"
"13411","col","","","Baynshire","101.331947","43.938889","Shiregin Gashun (PMPE)","","Polish-Mongolian Palaeontological Expedition 1971, Shiregin Gashoon","5","Cenomanian","Santonian","100.5","83.6","9899"
"13451","col","","","Pismo","-120.733299","35.166698","Avilla Beach W","","UCMP V70148, UCMP V6616","1","Piacenzian","","3.6","2.58","6029"
"13503","col","","","Monte Hermoso","-61.000000","-38.000000","Monte Hermoso","","","7","Montehermosan","","5","3.8","6117"
"13738","col","","","","116.150002","-8.633300","Wajak Cave Mammal Fauna","","","1","Holocene","","0.0117","0","6145"
"13741","col","","","Villavieja","-75.166664","3.283333","Duke Locality 75 (La Venta Fauna)","","IGM locality 75","1","Laventan","Mayoan","13.8","10","6139"
"13750","col","","","La Victoria","-75.150002","3.300000","Duke Locality 113 (La Venta Fauna)","","","1","Laventan","","13.8","11","6139"
"13776","col","","","Baruungoyot","101.125000","43.487499","Khulsan (general) [PMPE]","","Polish-Mongolian Palaeontological Expedition, East Nemegt","7","Middle Campanian","Late Campanian","83.6","72.2","9899"
"13777","col","","","Baruungoyot","99.750000","43.250000","Khermeen Tsav I, Red Beds [PMPE]","","Polish-Mongolian Palaeontological Expedition, Khermin Tsav","8","Middle Campanian","Late Campanian","83.6","72.2","9899"
"13937","col","","","Yixian","121.416664","41.366669","Dawangzhangzi","","","11","Late Barremian","Early Aptian","125.77","119.57","6171"
"14211","col","","","Sarmiento","-67.488892","-45.234444","Cabeza Blanca","","Loomis Locality","3","Deseadan","","29","21","36444"
"14228","col","","","Elliot","27.566668","-28.900000","Farm Gertruida (38)","","De Rust","1","Hettangian","Sinemurian","201.4","192.9","6296"
"14374","col","","","Antlers","-96.099998","34.400002","Antlers Formation (OMNH V212)","","","2","Late Aptian","Early Albian","119.57","110.1","1219"
"14375","col","","","Antlers","-97.616669","33.283333","Butler Farm","","SMU Loc. 20","5","Late Aptian","Early Albian","119.57","110.1","3184"
"14376","col","","","Arundel Clay","-76.868889","39.070557","Cherokee-Sanford Brick Clay Pit (USNM Loc. 41614, 41615)","","Hotton locality; Dinosaur Park, M-NCPPC, Washington Brick Company; Muirkirk","12","Late Aptian","","119.57","113.2","83879"
"14379","col","","","Cloverly","-108.811302","45.226200","Harvard Triconodontid Site, Edwards Ranch","","","1","Middle Albian","Early Cenomanian","110.1","93.9","2023"
"14388","col","","","Antlers","-97.582741","33.500179","Greenwood Canyon","","SMU Loc. 21, Triconodont Gully, Turtle Gully","6","Late Aptian","Early Albian","119.57","110.1","19641"
"14392","col","","","Antlers","-95.822998","34.154999","McLeod Prison (OMNH V706), Tomato Hill","","Howard McLeod Correctional Center; HMCC; McLeod 2","8","Late Aptian","Early Albian","119.57","110.1","1212"
"14395","col","","","Cedar Mountain","-111.000000","39.000000","OMNH V823, Mussentuchit","","UCM Loc. 83242, MNA 1072, UCM Loc. 83242","1","Early Cenomanian","","100.5","93.9","1416"
"14396","col","","","Cedar Mountain","-111.241997","38.657001","OMNH V695, Mussentuchit","","","5","Early Cenomanian","","100.5","93.9","1210"
"14399","col","","","Cedar Mountain","-111.081108","38.938610","OMNH V239, Mussentuchit","","","2","Early Cenomanian","","100.5","93.9","1223"
"14402","col","","","Cedar Mountain","-111.000000","39.000000","OMNH V696, Mussentuchit","","","1","Early Cenomanian","","100.5","93.9","1223"
"14403","col","","","Cedar Mountain","-111.241997","38.657001","OMNH V794, Mussentuchit","","","4","Early Cenomanian","","100.5","93.9","1223"
"14404","col","","","Cedar Mountain","-111.169998","38.799999","OMNH V824, Mussentuchit","","","1","Early Cenomanian","","100.5","93.9","1227"
"14407","col","","","Cedar Mountain","-111.000000","39.000000","Rough Road Quarry (RRQ)","","OMNH V801; Mussentuchit; FHSM","2","Early Cenomanian","","100.5","93.9","62832"
"14408","col","","","Twin Mountains","-97.907219","32.270557","Paluxy Church","","Paluxy; SMU Loc. 138","4","Late Aptian","","119.57","113.2","3187"
"14409","col","","","Iron Springs","-112.809998","37.814999","UMNH VP Locality 6, Parowan Canyon","","","2","Santonian","","85.7","83.6","1411"
"14410","col","","","Iron Springs","-112.815002","37.799999","UMNH VP Locality 64, Parowan Canyon","","","1","Early Campanian","","83.6","72.2","1411"
"14413","col","","","Iron Springs","-113.430000","37.570000","MNA Locality 1230, Pinto Flats","","UMNH VP Locality 12","6","Santonian","Early Campanian","85.7","72.2","1411"
"14414","col","","","Straight Cliffs","-111.966263","37.602398","MNA 995, Jimmy Canyon","","OMNH V843; UMNH VP Loc. 129, Pardner Canyon, PC3","1","Middle Turonian","Late Turonian","93.9","89.8","1412"
"14415","col","","","Straight Cliffs","-111.500000","37.799999","Smoky Hollow Member (OMNH V4)","","MNA 1003-1","9","Late Turonian","","93.9","89.8","1412"
"14417","col","","","Straight Cliffs","-112.863998","35.568001","SUU Locality, Cedar Canyon","","MNA 1260, UMNH VP Loc. 8","1","Coniacian","Santonian","89.8","83.6","1414"
"14418","col","","","Straight Cliffs","-111.500000","37.799999","Tibbet Canyon Member, OMNH V17","","MNA 1006-2, NB4","1","Middle Turonian","Late Turonian","93.9","89.8","1412"
"14421","col","","","Wahweap","-112.899109","37.591667","Paul's Locality (UMNH VP Loc. 10)","","MNA 1417","4","Early Campanian","","83.6","72.2","1414"
"14422","col","","","Milk River","-111.800003","49.099998","Verdigris Coulee (UA-MR-2)","","UALVP MR-2, MR-02","1","Late Santonian","","85.7","83.6","1510"
"14423","col","","","Milk River","-111.800003","49.099998","Verdigris Coulee (UA-MR-4)","","UALVP MR-4, MR-04","11","Late Santonian","","85.7","83.6","1508"
"14424","col","","","Milk River","-111.800003","49.099998","Verdigris Coulee (UA-MR-5)","","UALVP MR-5, MR-05","6","Late Santonian","","85.7","83.6","1510"
"14425","col","","","Milk River","-111.800003","49.099998","Verdigris Coulee (UA-MR-6)","","UALVP MR-6, MR-06","11","Late Santonian","","85.7","83.6","1514"
"14426","col","","","Milk River","-111.800003","49.099998","Verdigris Coulee (UA-MR-8)","","UALVP MR-8, MR-08","11","Late Santonian","","85.7","83.6","1510"
"14427","col","","","Milk River","-111.800003","49.099998","Verdigris Coulee (UA-MR-12)","","UALVP MR-12","9","Late Santonian","","85.7","83.6","1521"
"14428","col","","","Milk River","-111.800003","49.099998","Verdigris Coulee (UA-MR-20)","","UALVP MR-20","12","Late Santonian","","85.7","83.6","1173"
