collection_no,formation,lng,lat,collection_name,n_occs,early_interval,late_interval,max_ma,min_ma
3256,,-1.166667,51.083332,M27 Motorway,1,Early Eocene,Middle Eocene,56.0,37.71
3257,,-1.166667,51.083332,M27 Motorway,1,Early Eocene,Middle Eocene,56.0,37.71
3534,Moodys Branch,-92.147224,32.234165,Montgomery Landing (Moodys Branch),1,Bartonian,,41.03,37.71
5195,Paw Paw,-97.300003,32.866669,SMU Loc. 263 (upper Paw Paw Fm.),1,Late Albian,,106.3,100.5
8019,Lopez de Bertodano,-56.75,-64.25,"Unit 10, Lopez de Bertodano FM., Seymour Island",1,Danian,,66.0,61.66
8050,London Clay,-0.65,50.783333,"Bognor Regis, London Clay",4,Ypresian,,56.0,48.07
10755,Tuchengzi,123.966698,42.9333,"Ershijiazi, Chaoyang",2,Late Kimmeridgian,Valanginian,152.21,132.6
10760,Sînpetru,22.9158,45.547501,Garjobel,5,Early Maastrichtian,,72.2,66.0
10764,Yixian,120.73333,41.799999,"Sihetun, Yixian Member 3 (general)",2,Late Barremian,Early Aptian,125.77,119.57
11582,Baruungoyot,99.599998,43.299999,"Khermeen Tsav, Red Beds (PIN coll. 3142) [SMPE]",14,Middle Campanian,Late Campanian,83.6,72.2
11601,Jewett,-118.848335,35.492779,Pyramid Hill Sand Member grit zone,1,Chattian,,27.3,23.04
11604,Lameta,80.366669,21.183332,Dongargaon Hill,1,Maastrichtian,,72.2,66.0
11611,Morrison,-108.995796,39.2383,"Mygatt-Moore Quarry, lower mudstone",13,Kimmeridgian,Tithonian,154.8,143.1
11798,,102.066666,25.016666,Lufeng,6,Tortonian,,11.63,7.246
11890,Dinosaur Park,-111.528732,50.740726,"RTMP Quarry 6, Sand Creek [AMNH]",1,Late Campanian,,83.6,72.2
11892,Dinosaur Park,-111.461914,50.753296,"RTMP Quarry 95, Steveville (ROM)",1,Late Campanian,,83.6,72.2
11893,Dinosaur Park,-111.549347,50.737015,"RTMP Quarry 48, Steveville (UA)",1,Late Campanian,,83.6,72.2
11894,Dinosaur Park,-111.528931,50.737297,RTMP Quarry 217,1,Late Campanian,,83.6,72.2
11895,Dinosaur Park,-111.564636,50.723866,"RTMP Quarry 74, Steveville",1,Late Campanian,,83.6,72.2
11896,Dinosaur Park,-111.525337,50.740471,"RTMP Quarry 106, Sand Creek (75 ft level) [AMNH]",1,Late Campanian,,83.6,72.2
11897,Dinosaur Park,-111.601021,50.786999,"RTMP Quarry 36, Berry Creek",1,Late Campanian,,83.6,72.2
11898,Scollard,-112.981903,51.8046,"east bank Red Deer River, GSC (NMC 5601)",1,Late Maastrichtian,,72.2,66.0
11899,Horseshoe Canyon,-112.981903,51.819099,2 miles below Tolman Ferry (150 ft level) [AMNH],3,Early Maastrichtian,,72.2,66.0
11900,Horseshoe Canyon,-112.818901,51.542702,"2.5 miles above Bleriot ferry, Red Deer River (ROM)",1,Early Maastrichtian,,72.2,66.0
11901,Horseshoe Canyon,-112.8423,51.469898,"Kneehills Creek, GSC (NMC 5600)",1,Early Maastrichtian,,72.2,66.0
11902,Horseshoe Canyon,-112.702202,51.4408,"Drumheller, Red Deer River (NMC Loc. 5)",1,Early Maastrichtian,,72.2,66.0
11903,Oldman,-110.681999,49.083698,Manyberries (NMC 11594),1,Late Campanian,,83.6,72.2
11904,Dinosaur Park,-111.511902,50.742401,"RTMP Quarry 236, Steveville (NMC 350)",1,Late Campanian,,83.6,72.2
11915,Oldman,-111.485008,50.751526,"RTMP Quarry 72, Steveville, (NMC)",1,Middle Campanian,,83.6,72.2
11916,Horseshoe Canyon,-112.934799,51.928299,"South bank of Red Deer River, upstream of Tolman Bridge",1,Early Maastrichtian,,72.2,66.0
11917,Scollard,-113.0289,51.906399,Knudsen's Coulee (NMC 9954),1,Late Maastrichtian,,72.2,66.0
11918,Scollard,-113.23333,51.933334,East of Huxley (NMC 9550),1,Late Maastrichtian,,72.2,66.0
11919,Oldman,-111.529999,50.77,near mouth of Sandhill Creek (50 ft level) [NMC],1,Late Campanian,,83.6,72.2
11920,Portland,-72.633331,41.566666,"""Middlebury"" quarry (Middletown)",1,Hettangian,Sinemurian,201.4,192.9
11923,Cerro Carnerero,-69.51667,-43.966667,"East Slope, Sierra Pampa de Agnía",1,Pliensbachian,Early Toarcian,192.9,182.9
11924,Morrison,-108.699989,39.068802,"Riggs Quarry 12, Fruita (FMNH)",1,Kimmeridgian,Tithonian,154.8,143.1
11925,Morrison,-108.717499,39.111668,"Riggs Quarry 14, Fruita (FMNH)",1,Kimmeridgian,,154.8,149.2
11931,Hell Creek,-106.569901,47.637699,"upper end, Gilbert Creek",2,Late Maastrichtian,,72.2,66.0
11932,Antlers,-96.278053,34.18,OMNH V611,1,Late Aptian,Early Albian,119.57,110.1
12584,Fruitland,-107.966393,36.06028,OMNH 40-V,1,Late Campanian,,83.6,72.2
12585,Huriwai Measures,174.71666,-37.383331,Huriwai Measures,1,Puaroan,,150.0,143.1
12816,Morrison,-106.00222,41.893055,"Quarry 9, Como Bluff (YPM)",16,Kimmeridgian,Tithonian,154.8,143.1
12840,,1.733333,44.166668,Le Bretou,7,Bartonian,,41.03,37.71
12841,Perriere,1.731667,44.349998,Les Pradigues,1,Priabonian,,37.71,33.9
12845,,1.566667,44.383331,Escamps C,1,MP 19,,37.71,33.9
12846,,1.566667,44.383331,Escamps X,1,MP 19,,37.71,33.9
12847,Calcaire de Saint-Ouen,3.35,49.133331,Grisolles,1,Bartonian,,41.03,37.71
12850,Perrière,1.433333,44.383331,Perrière,3,Late Eocene,,37.71,33.9
12851,,1.731944,44.366669,Gousnat,1,MP 18,,37.71,33.9
12855,El Molino,-65.940002,-17.687,Pajcha Pata,2,Late Maastrichtian,,72.2,66.0
12954,Jebel Qatrani,30.583332,29.450001,Quarry I (Jebel Qatrani Formation),4,Rupelian,,33.9,27.3
12960,Jebel Qatrani,30.583332,29.450001,Quarry M (Jebel Qatrani Formation),11,Rupelian,,33.9,27.3
12964,Jebel Qatrani,30.583332,29.450001,Quarry A-1 (Jebel Qatrani Formation),2,Rupelian,,33.9,27.3
12968,Jebel Qatrani,30.583332,29.450001,Quarry E (Jebel Qatrani Formation),1,Rupelian,,33.9,27.3
12977,Hell Creek,-106.227776,47.695831,MPM locality 3850 (Hell Creek Formation),2,Maastrichtian,,72.2,66.0
13000,Menefee,-107.199997,35.700001,NMMNH locality L-3034,2,Early Campanian,Middle Campanian,83.6,72.2
13065,Maradah,20.5,28.0,Gebel Zelten site 6412,1,Burdigalian,,20.45,15.98
13066,,-84.800003,34.200001,Ladd's Quarry,6,Late Pleistocene,,0.129,0.0117
13079,Pisco,-74.719719,-15.580833,Sud-Sacaco West (SAS) horizon,13,Messinian,,7.246,5.333
13090,Almejas,-115.183334,28.366667,Arroyo Delphin,3,Messinian,,7.246,5.333
13096,Karaginskaya,51.431946,43.819443,Karagiya,1,Chattian,,27.3,23.04
13105,Turney Ranch,-110.418053,31.81139,"""Sonorasaurus"" site, Whetstone Mountains",3,Late Albian,Early Cenomanian,106.3,93.9
13106,López de Bertodano,-56.72361,-64.273613,"Seymour Island, Klb 9",1,Late Maastrichtian,,72.2,66.0
13108,Nemegt,99.599998,43.540001,Bugin Tsav [AMNH],3,Maastrichtian,,72.2,66.0
13110,Abraq,34.806946,23.380833,Gabal Abraq - lower Abraq Fm.,1,Cretaceous,,143.1,66.0
13142,Hell Creek,-106.099998,47.799999,Bug Creek Anthills,8,Late Maastrichtian,,72.2,66.0
13144,Calcare di Bari,16.462996,41.247108,"Lama Paterno quarry, Bisceglie (bed 3)",1,Early Aptian,,121.4,119.57
13209,Los Blanquitos,-65.26667,-24.299999,Arroyo El Morterito (PVL),3,Campanian,,83.6,72.2
13210,Yacoraite,-65.26667,-24.299999,"Aguas Calientes, Arroyo el Morterito",1,Late Maastrichtian,,72.2,66.0
13212,Morrison,-106.041,41.893101,"Quarry 1, Como Bluff (YPM)",6,Kimmeridgian,Tithonian,154.8,143.1
13214,Morrison,-106.389999,42.035831,Freeze Out Mtns. Kansas Univ. Expedition,6,Kimmeridgian,Tithonian,154.8,143.1
13218,Calcarenites du Jadet,0.948611,43.142776,Le Jadet Quarry (upper),1,Late Maastrichtian,,72.2,66.0
13221,,164.956665,-21.336666,"Pindai Cave, Nepoui Peninsula",22,Holocene,,0.0117,0.0
13263,Wingate Sandstone,-108.930832,38.27861,La Sal Creek tracksite,1,Rhaetian,Hettangian,205.7,199.5
13264,,-83.666664,22.583332,Cueva Pío Dominga owl locality (Cuba),1,Pleistocene,,2.58,0.0117
13267,Vectis,-1.381643,50.62413,Barnes High locality (Wealden),1,Late Barremian,Early Aptian,125.77,119.57
13268,Vectis,-1.468,50.654499,SZ 377840 Bernissartia locality (Wealden),2,Late Barremian,Early Aptian,125.77,119.57
13271,Chañares,-67.820557,-29.823055,"Chañares River, 4 km north",1,Ladinian,,241.464,237.0
13273,Cooper Canyon,-101.315002,33.521389,Miller's Ranch Quarry,6,Norian,,227.3,205.7
13274,,-3.966667,30.9,Hamada du Guir,2,Late Albian,Early Cenomanian,106.3,93.9
13275,Morrison,-109.676109,38.738609,East Dalton Wells tracksite (Morrison Formation),2,Kimmeridgian,Tithonian,154.8,143.1
13277,Morrison,-108.799721,39.065277,"north end, Black Ridge tracksite",2,Kimmeridgian,,154.8,149.2
13279,Kayenta,-111.027779,35.679169,West Moenkopi Plateau (MNA 219),1,Sinemurian,Pliensbachian,199.5,184.2
13280,Kayenta,-111.073608,35.736668,"Gold Spring Wash (MNA 291, MCZ 77 AR/4, TMM 43699)",4,Sinemurian,Pliensbachian,199.5,184.2
13281,Two Medicine,-112.182777,47.8125,"Egg Island, MOR TM-024",3,Middle Campanian,,83.6,72.2
13282,Two Medicine,-112.660004,47.82,"Egg Gulch, MOR TM-008",4,Late Campanian,,83.6,72.2
13284,,102.066666,48.583332,Boro Khovil,1,Santonian,Maastrichtian,85.7,66.0
13285,Löwenstein,8.978333,49.023609,"Goessel Quarry 375, Ochsenbach",1,Norian,,227.3,205.7
13286,Aurisina,13.588611,45.77861,Villaggio del Pescatore,2,Early Campanian,Middle Campanian,83.6,72.2
13292,Botucatu,-47.75,-21.066668,"Brodósqui tracksite, Visconde Farm quarries",1,Aptian,,121.4,113.2
13294,North Horn,-111.254166,39.267223,"Lower Coal Sequence (Unit 3, 160 - 199 meters) North Horn Mountain",1,Late Maastrichtian,,72.2,66.0
13296,White River,-104.866669,40.900002,Chalk Bluffs,1,Orellan,,33.9,31.8
13297,Temblor,-118.5,35.299999,Sharktooth Hill,7,Langhian,,15.98,13.82
13298,London Clay,-0.683333,50.783333,Fish Tooth Beds,5,Ypresian,,56.0,48.07
13299,London Clay,0.833333,51.400002,Isle of Sheppey (BMNH collection),7,Ypresian,,56.0,48.07
13300,Monterey,-117.712219,33.561943,Laguna Niguel,15,Tortonian,,11.63,7.246
13301,Niobrara,-101.0,39.0,B. F. Mudge collection,2,Early Coniacian,Santonian,89.8,83.6
13305,Bajo de la Carpa,-68.234169,-38.953888,"Boca del Sapo, Universidad Nacional del Comahue",4,Santonian,,85.7,83.6
13306,Yacoraite,-66.0,-25.5,Quebrada del Tapón tracksite,4,Late Maastrichtian,,72.2,66.0
13307,Lecho,-65.366669,-26.066668,"Estancia ""El Brete"" (PVL)",18,Early Maastrichtian,,72.2,66.0
13308,Angostura Colorada,-69.466667,-41.349998,Monton-ilo tracksite,2,Late Campanian,Early Maastrichtian,83.6,66.0
13309,Quiriquina,-73.116669,-36.716667,"west end, Bahía San Vicente",1,Late Maastrichtian,,72.2,66.0
13310,Saltrio,8.928022,45.882748,"""Salnova"" quarry, Saltrio",1,Early Sinemurian,,199.5,192.9
13311,,-46.616669,-23.533333,Bauru bird fossil CHECK,1,Maastrichtian,,72.2,66.0
13312,La Bocana Roja,-115.73333,30.049999,southwest of El Rosario,2,Santonian,,85.7,83.6
13313,Wipajiri,140.733337,-27.75,"Leaf locality, Lake Ngapakaldi",2,Late Oligocene,Early Miocene,27.3,15.98
13314,Camfield Beds,131.522217,-17.116667,Bullock Creek (QVM),2,Middle Miocene,,15.98,11.63
13315,Waite,133.883331,-23.700001,Alcoota (incl. Rochow) Locality,9,Late Miocene,,11.63,5.333
13316,Mampuwordu Sands,140.733337,-27.75,"Lawson-Daily Quarry, Lake Palankarinna",2,Pliocene,,5.333,2.58
13317,Tirari,138.416672,-28.766666,Lake Kanunka,3,Zanclean,,5.333,3.6
13318,Chinchilla Sand,150.633331,-26.75,Chinchilla Riffle Range,1,Early Pliocene,,5.333,3.6
13319,Katipiri,140.733337,-27.75,Cooper Creek (including Katipiri Waterhole (= Site 9) & Wurdulumankula),3,Late Pleistocene,,0.129,0.0117
13320,London Clay,0.75,51.25,London Clay palaeognath,1,Early Eocene,,56.0,48.07
13321,Willwood,-108.37944,43.025002,Willwood ?gruiform,1,Early Eocene,,56.0,48.07
13322,,11.953611,51.321945,"Geiseltal, Mittelkohle, Zone III (Middlecoal, zone III)",2,Lutetian,,48.07,41.03
13323,Washakie,-108.270279,41.337502,Washakie bathornithid,1,Uintan,,45.9,39.7
13324,,1.433333,44.383331,French Paleogene vulture,1,Late Eocene,Early Oligocene,37.71,27.3
13325,,1.433333,44.383331,Another French Paleogene vulture,1,Late Eocene,Early Oligocene,37.71,27.3
13326,Elliot,28.623056,-28.509443,"Rooidraai, Golden Gate Highlands National Park (BPI)",2,Hettangian,Sinemurian,201.4,192.9
13331,La Posa,1.078398,42.113537,"Biscarri, Isona",2,Early Maastrichtian,,72.2,66.0
13332,,6.3,43.583332,Upper-Var syncline (PROXY),1,Maastrichtian,,72.2,66.0
13333,La Amarga,-70.194786,-39.481979,La Amarga (main site),4,Barremian,,125.77,121.4
13334,Densuş-Ciula,22.845142,45.603615,Tuştea-Oltoane nesting site,7,Early Maastrichtian,,72.2,66.0
13335,Lower Bauxite,22.4,46.950001,"Brusturi Mine, Cornet 204 lens",16,Berriasian,,143.1,137.05
13336,Sebayashi,140.433334,40.950001,"Nakasato, Sebayashi trackway site",1,Early Albian,,113.2,110.1
13339,Dinosaur Park,-111.565781,50.742214,"RTMP Quarry 105, Sand Creek (150 ft level) [AMNH]",1,Late Campanian,,83.6,72.2
13340,Oldman,-111.800003,50.73,"north fork, Sand Creek (50 ft level) [AMNH]",1,Campanian,,83.6,72.2
13341,Morrison,-105.187332,39.653423,"Lakes Quarry 10, Morrison (YPM)",4,Kimmeridgian,Tithonian,154.8,143.1
13342,Tereñes,-5.249015,43.498878,Playa de La Griega tracksite,4,Kimmeridgian,,154.8,149.2
13343,Cabaços,-5.076468,43.468056,Playa de Ribadesella tracksite,2,Kimmeridgian,,154.8,149.2
13345,Winton,143.0,-22.6,Diamantina River,1,Late Albian,Early Turonian,106.3,89.8
13347,Nemegt,99.926941,43.720554,"Haichin Ula I [SMGE, SMPE] (PIN coll. 4230)",2,Maastrichtian,,72.2,66.0
13349,Tayzhuzgen,84.0047,47.5919,Taydzhuzgen River tributary,3,Maastrichtian,,72.2,66.0
13350,Baynshire,101.331947,43.938889,Shiregin-Gashun [SMGE],1,Cenomanian,Santonian,100.5,83.6
13351,,110.416664,45.099998,Tel Ulan Shalcha [SMGE],1,Late Cretaceous,,100.5,66.0
13352,Morrison,-105.916199,42.152302,"Carnegie Quarry D, Sheep Creek",5,Kimmeridgian,Tithonian,154.8,143.1
13366,Phosphorite Unit,36.033333,32.016666,Ruseifa phosphate mine,1,Maastrichtian,,72.2,66.0
13408,Choptank,-76.471107,38.46389,"Calvert Beach Run, south of, Zone 19",1,Serravallian,,13.82,11.63
13409,Kayenta,-110.32,36.145279,"UCMP V4214, Moa Ave",1,Sinemurian,Pliensbachian,199.5,184.2
13410,Kayenta,-110.300003,36.099998,"UCMP V6468, Moa Ave",1,Sinemurian,Pliensbachian,199.5,184.2
13411,Baynshire,101.331947,43.938889,Shiregin Gashun (PMPE),5,Cenomanian,Santonian,100.5,83.6
13451,Pismo,-120.733299,35.166698,Avilla Beach W,1,Piacenzian,,3.6,2.58
13503,Monte Hermoso,-61.0,-38.0,Monte Hermoso,7,Montehermosan,,5.0,3.8
13738,,116.150002,-8.6333,Wajak Cave Mammal Fauna,1,Holocene,,0.0117,0.0
13741,Villavieja,-75.166664,3.283333,Duke Locality 75 (La Venta Fauna),1,Laventan,Mayoan,13.8,10.0
13750,La Victoria,-75.150002,3.3,Duke Locality 113 (La Venta Fauna),1,Laventan,,13.8,11.0
13776,Baruungoyot,101.125,43.487499,Khulsan (general) [PMPE],7,Middle Campanian,Late Campanian,83.6,72.2
13777,Baruungoyot,99.75,43.25,"Khermeen Tsav I, Red Beds [PMPE]",8,Middle Campanian,Late Campanian,83.6,72.2
13937,Yixian,121.416664,41.366669,Dawangzhangzi,11,Late Barremian,Early Aptian,125.77,119.57
14211,Sarmiento,-67.488892,-45.234444,Cabeza Blanca,3,Deseadan,,29.0,21.0
14228,Elliot,27.566668,-28.9,Farm Gertruida (38),1,Hettangian,Sinemurian,201.4,192.9
14374,Antlers,-96.099998,34.400002,Antlers Formation (OMNH V212),2,Late Aptian,Early Albian,119.57,110.1
14375,Antlers,-97.616669,33.283333,Butler Farm,5,Late Aptian,Early Albian,119.57,110.1
14376,Arundel Clay,-76.868889,39.070557,"Cherokee-Sanford Brick Clay Pit (USNM Loc. 41614, 41615)",12,Late Aptian,,119.57,113.2
14379,Cloverly,-108.811302,45.2262,"Harvard Triconodontid Site, Edwards Ranch",1,Middle Albian,Early Cenomanian,110.1,93.9
14388,Antlers,-97.582741,33.500179,Greenwood Canyon,6,Late Aptian,Early Albian,119.57,110.1
14392,Antlers,-95.822998,34.154999,"McLeod Prison (OMNH V706), Tomato Hill",8,Late Aptian,Early Albian,119.57,110.1
14395,Cedar Mountain,-111.0,39.0,"OMNH V823, Mussentuchit",1,Early Cenomanian,,100.5,93.9
14396,Cedar Mountain,-111.241997,38.657001,"OMNH V695, Mussentuchit",5,Early Cenomanian,,100.5,93.9
14399,Cedar Mountain,-111.081108,38.93861,"OMNH V239, Mussentuchit",2,Early Cenomanian,,100.5,93.9
14402,Cedar Mountain,-111.0,39.0,"OMNH V696, Mussentuchit",1,Early Cenomanian,,100.5,93.9
14403,Cedar Mountain,-111.241997,38.657001,"OMNH V794, Mussentuchit",4,Early Cenomanian,,100.5,93.9
14404,Cedar Mountain,-111.169998,38.799999,"OMNH V824, Mussentuchit",1,Early Cenomanian,,100.5,93.9
14407,Cedar Mountain,-111.0,39.0,Rough Road Quarry (RRQ),2,Early Cenomanian,,100.5,93.9
14408,Twin Mountains,-97.907219,32.270557,Paluxy Church,4,Late Aptian,,119.57,113.2
14409,Iron Springs,-112.809998,37.814999,"UMNH VP Locality 6, Parowan Canyon",2,Santonian,,85.7,83.6
14410,Iron Springs,-112.815002,37.799999,"UMNH VP Locality 64, Parowan Canyon",1,Early Campanian,,83.6,72.2
14413,Iron Springs,-113.43,37.57,"MNA Locality 1230, Pinto Flats",6,Santonian,Early Campanian,85.7,72.2
14414,Straight Cliffs,-111.966263,37.602398,"MNA 995, Jimmy Canyon",1,Middle Turonian,Late Turonian,93.9,89.8
14415,Straight Cliffs,-111.5,37.799999,Smoky Hollow Member (OMNH V4),9,Late Turonian,,93.9,89.8
14417,Straight Cliffs,-112.863998,35.568001,"SUU Locality, Cedar Canyon",1,Coniacian,Santonian,89.8,83.6
14418,Straight Cliffs,-111.5,37.799999,"Tibbet Canyon Member, OMNH V17",1,Middle Turonian,Late Turonian,93.9,89.8
14421,Wahweap,-112.899109,37.591667,Paul's Locality (UMNH VP Loc. 10),4,Early Campanian,,83.6,72.2
14422,Milk River,-111.800003,49.099998,Verdigris Coulee (UA-MR-2),1,Late Santonian,,85.7,83.6
14423,Milk River,-111.800003,49.099998,Verdigris Coulee (UA-MR-4),11,Late Santonian,,85.7,83.6
14424,Milk River,-111.800003,49.099998,Verdigris Coulee (UA-MR-5),6,Late Santonian,,85.7,83.6
14425,Milk River,-111.800003,49.099998,Verdigris Coulee (UA-MR-6),11,Late Santonian,,85.7,83.6
14426,Milk River,-111.800003,49.099998,Verdigris Coulee (UA-MR-8),11,Late Santonian,,85.7,83.6
14427,Milk River,-111.800003,49.099998,Verdigris Coulee (UA-MR-12),9,Late Santonian,,85.7,83.6
14428,Milk River,-111.800003,49.099998,Verdigris Coulee (UA-MR-20),12,Late Santonian,,85.7,83.6
14429,Wahweap,-111.349998,37.599998,"OMNH V2, Death RIdge",1,Early Campanian,,83.6,72.2
14430,Wahweap,-112.884064,37.592609,Websters Flats Locality (UMNH VP Loc. 11),3,Early Campanian,,83.6,72.2
14433,Mesaverde,-107.099998,43.200001,Barwin Quarry (AMNH),4,Judithian,,83.6,72.2
14434,Judith River,-109.269997,46.419998,Blackbird Ridge Quarry (BBR),5,Middle Campanian,Late Campanian,83.6,72.2
14435,Judith River,-110.583298,48.916698,Bob's Ilia,1,Middle Campanian,Late Campanian,83.6,72.2
14437,Judith River,-109.410004,46.459999,Careless Creek Quarry (CCQ),21,Middle Campanian,,83.6,72.2
